fold_id,amp_noise_prior,time_prior,dimension_prior,lambda_corr,pred_corr_mean_L,pred_corr_mean_S,pred_corr_mean_C,pred_corr_std_L,pred_corr_std_S,pred_corr_std_C,mean_abs_pred_corr_over_train_std_L,mean_abs_pred_corr_over_train_std_S,mean_abs_pred_corr_over_train_std_C
1,conservative_amp_noise,current_time,smooth_dims,0.25,-0.0009737065887629875,-0.0020642380141814394,0.006210206813514423,9.661052046153324e-05,0.0004147455407940465,0.0006451831639818333,0.2488256932660917,0.25363426558383956,0.5165733680295799
1,conservative_amp_noise,current_time,smooth_dims,0.5,-0.0009737065887629875,-0.0020642380141814394,0.006210206813514423,9.661052046153324e-05,0.0004147455407940465,0.0006451831639818333,0.2488256932660917,0.25363426558383956,0.5165733680295799
1,conservative_amp_noise,current_time,smooth_dims,1.0,-0.0009737065887629875,-0.0020642380141814394,0.006210206813514423,9.661052046153324e-05,0.0004147455407940465,0.0006451831639818333,0.2488256932660917,0.25363426558383956,0.5165733680295799
1,conservative_amp_noise,current_time,moderate_dims,0.25,-0.0012513289438700068,-0.0028140873334592904,0.005950894101923227,0.00014605517342668718,0.0006331404562645444,0.0009342544908637488,0.3197706532498061,0.3457687384919927,0.4950033873796535
1,conservative_amp_noise,current_time,moderate_dims,0.5,-0.0012513289438700068,-0.0028140873334592904,0.005950894101923227,0.00014605517342668718,0.0006331404562645444,0.0009342544908637488,0.3197706532498061,0.3457687384919927,0.4950033873796535
1,conservative_amp_noise,current_time,moderate_dims,1.0,-0.0012513289438700068,-0.0028140873334592904,0.005950894101923227,0.00014605517342668718,0.0006331404562645444,0.0009342544908637488,0.3197706532498061,0.3457687384919927,0.4950033873796535
1,conservative_amp_noise,long_time,smooth_dims,0.25,-0.0008252482501931421,-0.001765929377156445,0.0038827991142646,8.933683576776076e-05,0.00038646423059378326,0.0005655358595093507,0.210887931067416,0.21698088959262488,0.322976460538012
1,conservative_amp_noise,long_time,smooth_dims,0.5,-0.0008252482501931421,-0.001765929377156445,0.0038827991142646,8.933683576776076e-05,0.00038646423059378326,0.0005655358595093507,0.210887931067416,0.21698088959262488,0.322976460538012
1,conservative_amp_noise,long_time,smooth_dims,1.0,-0.0008252482501931421,-0.001765929377156445,0.0038827991142646,8.933683576776076e-05,0.00038646423059378326,0.0005655358595093507,0.210887931067416,0.21698088959262488,0.322976460538012
1,conservative_amp_noise,long_time,moderate_dims,0.25,-0.0011134296760390643,-0.0025290709004821216,0.003580457570275596,0.000142082857051672,0.0006109720155450075,0.0008971618396044585,0.2845312070810045,0.3107485842457994,0.29782728364847805
1,conservative_amp_noise,long_time,moderate_dims,0.5,-0.0011134296760390643,-0.0025290709004821216,0.003580457570275596,0.000142082857051672,0.0006109720155450075,0.0008971618396044585,0.2845312070810045,0.3107485842457994,0.29782728364847805
