fold_id,amp_noise_prior,time_prior,dimension_prior,factor,ell_L_dm_t,ell_S_dm_t,ell_C_dm_t,ell_dL_t,ell_dS_t,ell_dC_t,ell_time,alpha_factor,sigma_factor,map_objective,optimizer_success,best_restart_name,final_jitter,n_train,pathology_flag
1,conservative_amp_noise,current_time,smooth_dims,L,2.735175645830526,2.757052231041699,2.6716088418919166,2.227408111816585,2.241676480108763,2.2408782358660893,1.24343001864085,0.05879162338370757,0.9953852755411179,-907.4575952650233,True,conservative,1e-06,214,none
1,conservative_amp_noise,current_time,smooth_dims,S,2.735175645830526,2.757052231041699,2.6716088418919166,2.227408111816585,2.241676480108763,2.2408782358660893,1.24343001864085,0.05958140507092367,0.9948973470375562,-907.4575952650233,True,conservative,1e-06,214,none
1,conservative_amp_noise,current_time,smooth_dims,C,2.735175645830526,2.757052231041699,2.6716088418919166,2.227408111816585,2.241676480108763,2.2408782358660893,1.24343001864085,0.061424642975082766,0.9936195453278333,-907.4575952650233,True,conservative,1e-06,214,none
1,conservative_amp_noise,current_time,moderate_dims,L,2.237465359271658,2.262064936048082,2.17172486872675,1.7333072465044133,1.7526522350827523,1.7456276056954914,1.2481919718060281,0.059305989668154487,0.9950014516984531,-908.2784162919925,True,conservative,1e-06,214,none
1,conservative_amp_noise,current_time,moderate_dims,S,2.237465359271658,2.262064936048082,2.17172486872675,1.7333072465044133,1.7526522350827523,1.7456276056954914,1.2481919718060281,0.060189577254957896,0.9944545498442698,-908.2784162919925,True,conservative,1e-06,214,none
1,conservative_amp_noise,current_time,moderate_dims,C,2.237465359271658,2.262064936048082,2.17172486872675,1.7333072465044133,1.7526522350827523,1.7456276056954914,1.2481919718060281,0.0616918146807948,0.993416984820539,-908.2784162919925,True,conservative,1e-06,214,none
1,conservative_amp_noise,long_time,smooth_dims,L,2.730187316680204,2.752588666068514,2.663160974610781,2.227579873515549,2.2421202247812158,2.234317728365495,2.2257456947390843,0.05861460048047295,0.9955304502690252,-907.6610191552892,True,prior_median,1e-06,214,none
1,conservative_amp_noise,long_time,smooth_dims,S,2.730187316680204,2.752588666068514,2.663160974610781,2.227579873515549,2.2421202247812158,2.234317728365495,2.2257456947390843,0.059773617300101445,0.9948217673698863,-907.6610191552892,True,prior_median,1e-06,214,none
1,conservative_amp_noise,long_time,smooth_dims,C,2.730187316680204,2.752588666068514,2.663160974610781,2.227579873515549,2.2421202247812158,2.234317728365495,2.2257456947390843,0.060952704924096976,0.9940230057257886,-907.6610191552892,True,prior_median,1e-06,214,none
1,conservative_amp_noise,long_time,moderate_dims,L,2.230435025518367,2.2578103799194547,2.16100062671372,1.7356800295896329,1.7511217859336103,1.7384378447224462,2.235263950663106,0.059218521370584525,0.9950678684620138,-908.4577688013186,True,moderate,1e-06,214,none
1,conservative_amp_noise,long_time,moderate_dims,S,2.230435025518367,2.2578103799194547,2.16100062671372,1.7356800295896329,1.7511217859336103,1.7384378447224462,2.235263950663106,0.06036914133763667,0.9943655937255627,-908.4577688013186,True,moderate,1e-06,214,none
1,conservative_amp_noise,long_time,moderate_dims,C,2.230435025518367,2.2578103799194547,2.16100062671372,1.7356800295896329,1.7511217859336103,1.7384378447224462,2.235263950663106,0.06138725701402006,0.9936847573795649,-908.4577688013186,True,moderate,1e-06,214,none
1,moderate_amp_noise,current_time,smooth_dims,L,2.715820411147157,2.7761094077288364,2.5442059172188434,2.1994225470575106,2.2326900782887593,2.227640762749181,1.2444889734525657,0.09458826619216315,0.9921599211765944,-908.9293739982451,True,conservative,1e-06,214,none
1,moderate_amp_noise,current_time,smooth_dims,S,2.715820411147157,2.7761094077288364,2.5442059172188434,2.1994225470575106,2.2326900782887593,2.227640762749181,1.2444889734525657,0.10036266758550966,0.9902252509821884,-908.9293739982451,True,conservative,1e-06,214,none
1,moderate_amp_noise,current_time,smooth_dims,C,2.715820411147157,2.7761094077288364,2.5442059172188434,2.1994225470575106,2.2326900782887593,2.227640762749181,1.2444889734525657,0.10830867946966485,0.9869472720012465,-908.9293739982451,True,conservative,1e-06,214,none
1,moderate_amp_noise,current_time,moderate_dims,L,2.219204203304595,2.2910584967837293,2.0397414385479236,1.7112858583252972,1.762528368028534,1.7412761366626466,1.2532956804191713,0.09654845549597273,0.9911992348734492,-909.5918511175953,True,time_sensitive,1e-06,214,none
1,moderate_amp_noise,current_time,moderate_dims,S,2.219204203304595,2.2910584967837293,2.0397414385479236,1.7112858583252972,1.762528368028534,1.7412761366626466,1.2532956804191713,0.10372551354558857,0.9887355754692796,-909.5918511175953,True,time_sensitive,1e-06,214,none
1,moderate_amp_noise,current_time,moderate_dims,C,2.219204203304595,2.2910584967837293,2.0397414385479236,1.7112858583252972,1.762528368028534,1.7412761366626466,1.2532956804191713,0.1106276162870907,0.9859391530924134,-909.5918511175953,True,time_sensitive,1e-06,214,none
1,moderate_amp_noise,long_time,smooth_dims,L,2.7060232724526974,2.7698835546785983,2.523039444190729,2.2042561813119566,2.2368203122411567,2.2147475072028224,2.2118713514521136,0.0938698278659333,0.9925938098710231,-909.1483397179876,True,moderate,1e-06,214,none
