Month,y3,y6,y9,y12,y15,y18,y21,y24,y30,y36,y48,y60,y72,y84,y96,y108,y120,FFR,CU,PI
1972-01-01,0.0374417094447176,0.0402331690226238,0.042061167993347,0.0425619435235172,0.0447620667881918,0.0455544735504286,0.0471686773435851,0.0484056805546489,0.0502935780340593,0.0525596749007074,0.0523950380559342,0.0552672353468891,0.0581574597796816,0.0590285018974205,0.0590223321813172,0.059016162465214,0.0592668954171958,3.3,81.8563,3.951517540402039
1972-02-01,0.0341818020950324,0.0383639460975147,0.0407657761704713,0.0421970724834129,0.0450769681320617,0.0463589916060873,0.0473420645591727,0.0482809985433,0.0515725472877085,0.0555574940653297,0.0550227205276343,0.0575971678881002,0.0597546046024335,0.0601096949854128,0.0602600190543452,0.0604103431232776,0.0607667799403248,3.83,82.2062,3.7568138290035913
1972-03-01,0.0340379108479346,0.0381576427970107,0.0396444080789184,0.0426537850133432,0.0432907363909514,0.0437163352869752,0.0455483165432094,0.0473454384604214,0.050136946786637,0.0522964154230595,0.0546400641071745,0.0563708599556904,0.0587250763801919,0.0593940752678292,0.060036840160068,0.0606796050523068,0.0626071951732486,4.17,82.8926,3.5073130166805244
1972-04-01,0.0386464156443389,0.0439554172382584,0.0470278171305419,0.0494589385927572,0.0515216282747276,0.0531577253833596,0.054502852444153,0.055424619412046,0.0566732960255531,0.0579869402532544,0.0603779340260479,0.0603768316530225,0.061618525645334,0.0614176038578703,0.0611594808191948,0.0609013577805194,0.0629379199030317,4.27,82.8225,3.307677318784119
1972-05-01,0.03614247712665,0.0390896800493003,0.0434535426777351,0.0447116852752932,0.0453232362807966,0.0470738498026,0.0490221674645407,0.0508403011789554,0.0530184601534934,0.0549305223742879,0.0580442015182607,0.0574611749781667,0.059040933030645,0.0593810077910652,0.0602794799283725,0.0611779520656798,0.0625094985624343,4.46,82.893,3.006935350889961
1972-06-01,0.0386387281037499,0.0428384340629906,0.0450846560749808,0.0470444455949705,0.0471527649583272,0.0484230027029905,0.049534994632439,0.0500974756365307,0.0522756275479907,0.053210215001837,0.056043770444552,0.0573597883862609,0.0592447264391855,0.0594487025243193,0.0599305634288792,0.060412424333439,0.0627533359414299,4.55,82.6441,3.065615782602382
1972-07-01,0.041209795730414,0.0455442913193816,0.0497687502439157,0.0519581281973629,0.0514406980495555,0.0527120242193137,0.0536490784681655,0.0543582750945451,0.0555072015666757,0.0563631337320548,0.058542814658065,0.0590598840229468,0.0605327040300245,0.0601760392236369,0.0599642633615714,0.0597524874995059,0.0600211158084272,4.81,83.5285,3.066390241550554
1972-08-01,0.0375536574044484,0.043322481009541,0.0469491131561922,0.0492912354739909,0.0499750642552945,0.0506588930365981,0.0516695075786496,0.0527844538442552,0.0544018414105306,0.0565417245191059,0.0586987625586355,0.0588849547972087,0.0603020902002293,0.0603111140903244,0.0604442880103909,0.0605774619304573,0.0632455231604432,4.87,83.9714,3.3747352204891223
1972-09-01,0.0457455222274471,0.0505340425953692,0.0522400463052532,0.0547241232325181,0.0548348360027565,0.0549970769853273,0.0554761008709492,0.056168138080865,0.0570948638945499,0.0586522664221627,0.0610424053258346,0.0608562931426954,0.0621601060195019,0.0639164974356878,0.0640517446939924,0.064186991952297,0.0646572445000847,5.05,84.9134,3.331090174966356
1972-10-01,0.0458742586647411,0.0522898159802936,0.0544493806206763,0.0565214971696628,0.0564411271963602,0.0568854063308298,0.0575081755267793,0.0576752344831148,0.0573711335865053,0.0592428721111457,0.0601164132537685,0.0605394397194278,0.0617000657731044,0.0627088089813489,0.0632241430645386,0.0641062352039802,0.0658041116833772,5.06,85.7175,3.4249532306806607
