Month,L,S,C
1972-01-01,6.433722469116469,-2.791269342770351,-0.9720884087527886
1972-02-01,6.563507194034366,-3.348082115418706,-0.18679516706116983
1972-03-01,6.660764214066895,-3.3321605413965574,-1.1077739947864718
1972-04-01,6.403028723141158,-2.6994162885201054,1.3114892626379926
1972-05-01,6.439831457894336,-3.1699624494241667,0.4657059535807051
1972-06-01,6.472291182664566,-2.5528343067240122,-0.6795442687884111
1972-07-01,6.244816376985543,-2.080831716750497,0.6336591103699316
1972-08-01,6.361136055938082,-2.560144698529743,0.5893926280876314
1972-09-01,6.670109303224637,-1.910005616018044,-0.3427359991374819
1972-10-01,6.560929416007486,-1.5264936835352756,-0.22711740565279348
1972-11-01,6.48143245184524,-1.5609928822071333,0.05075761874777224
1972-12-01,6.438232838682059,-1.3554705666291686,-0.4622664626020886
1973-01-01,6.3957917096077415,-1.1610193572026148,0.31793129744328796
1973-02-01,6.420817752450419,-0.6313657495711273,0.6157584995436542
1973-03-01,6.375696009095684,-0.5320164021163936,1.2726692426213013
1973-04-01,6.381395533285712,0.4364419743816342,0.8467232573948915
1973-05-01,6.5120382149548535,0.23038512618541732,0.18402226015428602
1973-06-01,6.717366545513594,0.940696933686787,-1.2767708405344034
1973-07-01,6.809348405347587,2.1758894539008145,-2.095103188183247
1973-08-01,7.07688417732693,2.0866369579390667,0.15464796860473662
1973-09-01,6.935927292443765,2.9510963618878043,-2.5599482432041567
1973-10-01,6.805962473385845,1.9201147319172172,-2.8778214201346275
1973-11-01,6.751588853551264,1.7415598467164002,-2.655721296362027
1973-12-01,6.725728679758031,2.0202953417655003,-3.0032859748607073
1974-01-01,6.973561007029953,1.6250249530340002,-3.5228823365764694
1974-02-01,7.331532078459096,0.6929424527998415,-3.9518948055189718
1974-03-01,7.269744336314474,1.1122555485379908,-3.56347990742262
1974-04-01,7.223942615122394,1.7813338860445183,-1.2409373341232035
1974-05-01,7.25954310658181,2.162932803460711,-0.08165054524003512
1974-06-01,7.174686502965562,1.5637767578951343,0.9130321245634587
1974-07-01,7.103730004998147,0.8741281227069712,2.749762997811767
1974-08-01,7.235925377525473,0.9124765577955096,2.8549874375313795
1974-09-01,8.026771614689059,2.5338994781277724,-1.200131138285708
1974-10-01,7.827999263007125,0.2562640482726761,0.3245561391515046
1974-11-01,7.3774802940443625,0.6543956295963523,0.09841259573597153
1974-12-01,7.46409098368734,0.5633219266534041,-1.4087224772544764
1975-01-01,7.229679820403525,-0.052869251700072506,-0.351540081737149
1975-02-01,7.4848140155283716,-1.9592612188589884,-0.32678872833714423
1975-03-01,7.398341580309826,-1.7818735293404406,-0.9778379140314175
1975-04-01,7.488222903031605,-2.1716887019707682,1.5180258042241834
1975-05-01,7.687187889358204,-2.6129544775956743,3.2245480450591915
1975-06-01,8.035387445047025,-3.2553503181796466,0.9493029901700407
1975-07-01,7.496456854103265,-1.713918890866083,1.600134968452787
1975-08-01,8.097529556621947,-1.6490175211761777,0.9779121718464794
1975-09-01,8.24001106897528,-1.4111783075693096,0.09283684230336842
1975-10-01,8.338009646727441,-1.630174382401532,1.057415376943256
1975-11-01,8.10919971799877,-2.8405242921196088,0.5214163826797622
1975-12-01,8.3392471043906,-2.612920509192616,-0.35008759709334325
1976-01-01,8.149580608832869,-2.917611724802969,-0.577928379154444
1976-02-01,8.386323772345134,-3.768817431067664,-1.0235935861111924
1976-03-01,8.066166886614313,-2.786872658212448,0.36313703332028435
1976-04-01,7.87417187839121,-3.011037321543683,0.6509528954173156
1976-05-01,7.837434965010748,-3.048358020526925,0.5217700344103979
1976-06-01,7.948895618072957,-2.5411091307258107,1.1995581680150245
1976-07-01,8.004003924739978,-2.6737602076682214,0.431401570048583
1976-08-01,8.09593527995203,-3.039716308613742,-0.098209776566899
1976-09-01,7.957374813564513,-2.919118569990206,-0.6817545178898435
1976-10-01,7.749973049346983,-2.698649027378994,-1.0751307171956253
1976-11-01,7.842490719418162,-2.9514704605047695,-1.6497742476726542
1976-12-01,7.366419247460152,-2.8965919614723212,-2.2245349615508934
1977-01-01,7.249693384343483,-2.811658908994939,-1.9129577892886052
1977-02-01,7.75356408860547,-3.1246104810798325,-0.39018628976201386
1977-03-01,7.923314888982894,-3.2705650418825227,-1.0125266833921613
1977-04-01,7.368468473345162,-3.036243542816558,0.13064199221715667
1977-05-01,7.815460546124084,-3.1302465396744523,-0.8776343719428932
1977-06-01,7.708567256669102,-2.6032867074931354,-1.2437825271290315
1977-07-01,7.614352422031766,-2.3995929201969948,-1.7165807716650963
1977-08-01,7.722860675038214,-2.030610154772263,-1.3397285971683182
1977-09-01,7.482833899499957,-1.5658576006456424,-1.010484496071665
1977-10-01,7.496564946277673,-1.0843777137406345,-0.973589480751544
1977-11-01,7.6230240160652984,-1.1379898861432136,-0.09158489161664674
1977-12-01,7.5573223920285955,-1.1968868575096734,-0.13886194896956613
1978-01-01,7.8682812374385245,-1.4238039336964035,-0.35914246579337217
1978-02-01,7.9818040337359415,-1.2899796216258164,-0.23616887050539476
1978-03-01,8.07806898267747,-1.424842244964213,0.0035754333591369036
1978-04-01,8.022725216327105,-1.4472449239175855,0.5962668580946782
1978-05-01,8.04585146729045,-1.3191093386327803,1.0633870287928833
1978-06-01,8.166864812378417,-1.1557573293900405,1.1095824544920405
1978-07-01,8.206925787260571,-0.9541056154218926,1.7016496702918542
1978-08-01,8.097471966572012,-0.9170896535410681,1.9764193263895018
1978-09-01,8.006640723680302,-0.16198833566724768,1.0795899587058742
1978-10-01,8.200418134802433,0.6063023179439547,-0.1876726533993044
1978-11-01,8.05871949721284,1.8534033377006092,0.5978659348449136
1978-12-01,8.066895597866454,1.683175904053784,1.1502597200317042
1979-01-01,8.141217242373626,1.9022198985770054,2.625637703688086
1979-02-01,8.140905974060294,1.8066582500724178,1.155470451248968
1979-03-01,8.489531027962865,1.6292669079930437,0.7939272465933584
1979-04-01,8.505648596616634,1.6804388153616285,0.26433133881658255
1979-05-01,8.73894797216344,1.4073066450446037,0.4168208606613537
1979-06-01,8.589181797924118,1.533865673227507,-0.46993707715032973
1979-07-01,8.472071186734752,1.2044280025141294,-1.310027022325968
1979-08-01,8.691383574377824,1.4559546181336998,-1.4315285598363636
1979-09-01,8.750543350873873,2.232243500581936,-0.459524015233051
1979-10-01,8.894260047175091,2.3183576408951856,-0.47101434768217165
1979-11-01,9.888553114103335,3.392957488063325,0.32266266180588316
1979-12-01,9.837074992035015,3.2453977222126364,-2.1984529889895525
1980-01-01,9.992058120073056,3.450559334842522,-2.878267312849249
1980-02-01,10.836189527697485,2.412140500086187,-2.075467995398305
1980-03-01,11.355839670439739,4.599056111977989,1.5077762961283714
1980-04-01,11.099424332971726,5.444341207616096,0.8354589510109541
1980-05-01,10.310391310139542,0.9662589825151251,-1.6940907915649652
1980-06-01,10.45858507542039,-2.086667266734152,-1.5392131303998595
1980-07-01,10.224861177516487,-2.231153836157465,-1.2690270297259771
1980-08-01,10.691685658159056,-1.8340678108806736,-0.8577383829423484
1980-09-01,10.93053898375029,-0.849363643346464,1.1712760065899201
1980-10-01,11.146397124261698,1.0091565096346566,-0.05956592852130349
1980-11-01,11.722909514002733,2.813125536720166,-1.2321596383616396
1980-12-01,11.826159289024888,4.7695741715742965,-2.557756622846193
1981-01-01,11.990277665705678,4.175996041155277,-5.219404095749682
1981-02-01,12.402412183678088,3.6345226399698807,-4.870477463608353
1981-03-01,13.069404740037966,2.8348878027217874,-3.5164663259948865
1981-04-01,12.605214560805893,-0.16857800889225505,0.3953527860977686
1981-05-01,13.082746069718443,2.073261280222717,0.0012015200787716118
1981-06-01,12.535798332125744,3.608416842663999,-1.9484930282590214
1981-07-01,12.930900505896256,2.6206526094381104,-0.3237748938511664
1981-08-01,13.944249407405554,3.00920915477555,-0.7192368205365891
1981-09-01,13.951661757423107,2.8616986490706444,1.7192594031519994
1981-10-01,14.367287150773386,1.1017602901088204,2.564649715220189
1981-11-01,13.935625804409879,-0.8477484525998027,1.4478789394970075
1981-12-01,13.3061607879448,-2.1062442754658908,-0.9349131918460412
1982-01-01,13.64403260362447,-1.3629898535222282,1.4286676942289744
1982-02-01,13.650118102948392,0.8918367842024653,0.9882986758360625
1982-03-01,13.040623216977695,-0.0031837679736560487,1.9006053196615142
1982-04-01,13.293275619586572,0.14505208967059852,1.4902316770014328
1982-05-01,13.081420847727962,0.0748652935399523,1.5034939489909687
1982-06-01,13.09431488818371,-1.1730803840968953,2.683416650448451
1982-07-01,13.43392315173216,-0.4732078887742429,2.8200484023109906
1982-08-01,12.814522920321187,-3.054720314419549,4.146054043842176
1982-09-01,12.457322172608352,-3.6892196548852354,3.908031055343194
1982-10-01,11.267077789193344,-3.6871224718160196,4.719348961831674
1982-11-01,10.673631353794876,-3.141562178662095,2.184410795212191
1982-12-01,11.296175507355054,-3.101148833268765,-0.008992065488384382
1983-01-01,11.150438438748939,-3.52371954620696,-0.49867754336250486
1983-02-01,11.696653014435546,-3.6611645947597355,-1.371458317163162
1983-03-01,11.162610017946841,-3.3218129548558553,-1.7136293356999477
1983-04-01,11.304477794783446,-2.5923562479995477,-1.5225882353092108
1983-05-01,11.121879192861892,-3.115177698210395,-1.8269314782524377
1983-06-01,11.389251574913445,-2.8415854093382027,-0.9323343986525989
1983-07-01,11.476421398254503,-2.732708257673501,-0.6272675908827121
1983-08-01,12.223328823224499,-2.783852372549477,-0.43761920997555975
1983-09-01,12.096229447752934,-2.908724425351025,0.5289519082723007
1983-10-01,11.721825910551695,-3.1579314729086807,0.19933624243289938
1983-11-01,11.99784041653179,-3.6983222201492554,0.19444053855177124
1983-12-01,11.904983057903586,-3.14107342188666,-0.28650190545060167
1984-01-01,12.12371625292182,-3.2421590167825944,-0.13014385443426402
1984-02-01,12.023015140200169,-3.276901187034457,-0.7212271077665451
1984-03-01,12.33392562057045,-3.198935394093343,-0.3867257303759677
1984-04-01,13.01230404595973,-3.3745467195976735,-0.5805692274222742
1984-05-01,13.053487688073467,-3.4357142769370514,0.09292080116434748
