maturity_months,mean_error_bp,std_error_bp,rmse_bp
3,-11.112015190643138,22.381725597191576,24.96225123626449
6,-0.9262395416561736,4.609895667557998,4.696138440135451
9,0.18071099479951197,7.011342578511355,7.004538755955032
12,0.8243384234988907,9.136340606415736,9.161597930423506
15,2.773724766792088,8.652496988241914,9.075477422277869
18,2.897127622205862,6.713040749709466,7.303486017940017
21,2.9483329178450353,7.108565081249775,7.687182289144398
24,-0.741421682453158,6.734567809107474,6.766535247872471
30,-2.897584483338133,6.848122330969235,7.427694680596257
36,-3.306434497797403,6.969044064184135,7.705427061262088
48,-1.9835424005335625,9.87634655582878,10.060946553096638
60,-7.557783876280764,14.037076777828709,15.926283239525654
72,1.4996585971638323,9.95559111019576,10.055081373215943
84,0.6185741153332827,13.926880138729153,13.922482731228628
96,2.6954701639540697,8.022120777625016,8.452951646350607
108,3.3516923817997224,11.19529163649387,11.672275038676219
120,-2.732429324668577,16.43213189791803,16.636645237844945
