Month,L_actual,S_actual,C_actual,L_pred,S_pred,C_pred,L_resid,S_resid,C_resid
1972-02-01,6.563507194034366,-3.348082115418706,-0.18679516706116983,6.418427990535124,-2.722143351278079,-1.0376382608937726,0.1450792034992423,-0.6259387641406269,0.8508430938326028
1972-03-01,6.660764214066895,-3.3321605413965574,-1.1077739947864718,6.517455145429108,-3.207345735066075,-0.3588722585701168,0.14330906863778736,-0.12481480633048259,-0.748901736216355
1972-04-01,6.403028723141158,-2.6994162885201054,1.3114892626379926,6.631972316956818,-3.239656022188716,-1.1644340504440884,-0.22894359381566076,0.5402397336686104,2.475923313082081
1972-05-01,6.439831457894336,-3.1699624494241667,0.4657059535807051,6.346800882320966,-2.5226183977141767,0.9708611956845682,0.09303057557337002,-0.64734405170999,-0.5051552421038631
1972-06-01,6.472291182664566,-2.5528343067240122,-0.6795442687884111,6.386994120537266,-3.006019760838214,0.21536316678187906,0.08529706212730037,0.45318545411420175,-0.8949074355702902
1972-07-01,6.244816376985543,-2.080831716750497,0.6336591103699316,6.457436052092698,-2.484914828799603,-0.772368044867578,-0.2126196751071543,0.40408311204910596,1.4060271552375097
1972-08-01,6.361136055938082,-2.560144698529743,0.5893926280876314,6.219150664114489,-1.9737231382869032,0.38731486728693054,0.14198539182359315,-0.58642156024284,0.20207776080070083
1972-09-01,6.670109303224637,-1.910005616018044,-0.3427359991374819,6.322711741343863,-2.427087938904693,0.33876125582036143,0.34739756188077386,0.5170823228866488,-0.6814972549578433
1972-10-01,6.560929416007486,-1.5264936835352756,-0.22711740565279348,6.664345908846642,-1.8693146749858585,-0.45107337767938294,-0.10341649283915633,0.34282099145058287,0.22395597202658946
1972-11-01,6.48143245184524,-1.5609928822071333,0.05075761874777224,6.563967041953547,-1.5023190450309294,-0.3423020904179428,-0.082534590108307,-0.05867383717620389,0.39305970916571503
1972-12-01,6.438232838682059,-1.3554705666291686,-0.4622664626020886,6.478860804249895,-1.5195261342045026,-0.10184966346428379,-0.0406279655678361,0.1640555675753339,-0.3604167991378048
1973-01-01,6.3957917096077415,-1.1610193572026148,0.31793129744328796,6.451239180130742,-1.3515524953300855,-0.548355070433907,-0.05544747052300014,0.19053313812747064,0.8662863678771949
1973-02-01,6.420817752450419,-0.6313657495711273,0.6157584995436542,6.399382547921293,-1.1300195462346303,0.1414093897267455,0.021435204529125507,0.49865379666350296,0.47434910981690875
1973-03-01,6.375696009095684,-0.5320164021163936,1.2726692426213013,6.432572968726674,-0.6193991399451266,0.4191790137450345,-0.0568769596309906,0.08738273782873307,0.8534902288762668
1973-04-01,6.381395533285712,0.4364419743816342,0.8467232573948915,6.377888860406275,-0.4930340341846648,0.9977780697599922,0.0035066728794372892,0.929476008566299,-0.15105481236510065
1973-05-01,6.5120382149548535,0.23038512618541732,0.18402226015428602,6.417356917797984,0.3933287024863189,0.6513284070539076,0.09468129715686935,-0.1629435763009016,-0.4673061468996216
1973-06-01,6.717366545513594,0.940696933686787,-1.2767708405344034,6.554185301812274,0.16519792652765775,0.06757282007290077,0.16318124370131937,0.7754990071591292,-1.3443436606073043
1973-07-01,6.809348405347587,2.1758894539008145,-2.095103188183247,6.804662174953273,0.7550172612680857,-1.1887791006950343,0.004686230394313817,1.4208721926327288,-0.9063240874882128
1973-08-01,7.07688417732693,2.0866369579390667,0.15464796860473662,6.944314013560797,1.8704297995782637,-1.8694418250775762,0.1325701637661325,0.21620715836080295,2.024089793682313
1973-09-01,6.935927292443765,2.9510963618878043,-2.5599482432041567,7.164466217407157,1.8933902800528235,0.11455555594953881,-0.22853892496339245,1.0577060818349808,-2.6745037991536957
