Month,y3,y6,y9,y12,y15,y18,y21,y24,y30,y36,y48,y60,y72,y84,y96,y108,y120
1972-01-01,3.833789819356946,4.011664520337936,4.176314446548925,4.328215931409075,4.467999994711023,4.596389736548797,4.714154501507193,4.822076868274776,5.011458718577188,5.170346674280433,5.416521561937319,5.5931662574952465,5.722703606261647,5.8200571164318555,5.8950607084409965,5.95421874103334,6.001885702142929
1972-02-01,3.5372597608065885,3.81864145017008,4.065234365315722,4.28186257460618,4.472639037580374,4.6410743770607406,4.790168612608892,4.922488566338039,5.145288908484592,5.323588484444756,5.58577796883603,5.764656022886147,5.891752123262694,5.985464887350897,6.056864834018141,6.11282885871029,6.1577682710942465
1972-03-01,3.561985216444149,3.7779883720483003,3.9771857729586184,4.160374869364202,4.328489529399473,4.482535194073735,4.623542053147141,4.752531933137169,4.978377541279659,5.167393824465535,5.459491844752985,5.668590919912411,5.821708294707542,5.9366861499800585,6.0252250060918815,6.0950398666921295,6.151285351286953
1972-04-01,4.100954649081828,4.429389790064804,4.701517281598915,4.927576454214144,5.115894475514732,5.273248587421499,5.4051591293648515,5.516126646292746,5.689250855952716,5.814664608227127,5.976644003576755,6.071585677990002,6.131829170722579,6.172952255390817,6.202797933648139,6.225529635735606,6.243491842326173
1972-05-01,3.6351691150540155,3.9462188824001525,4.211911372040908,4.4396046689355115,4.635395191132574,4.804341329947381,4.950646577047777,5.07780958923006,5.285895711582903,5.446648856739086,5.673173693481326,5.820877648726536,5.922653439836302,5.996247733085838,6.051666269060965,6.094813112836741,6.129332163412504
1972-06-01,4.114203603476575,4.291437990975163,4.452528001712319,4.598819169356843,4.73160665706385,4.852117338600752,4.961499267840212,5.060816521176506,5.23308818174881,5.3757754443307055,5.593841175355106,5.748335124242069,5.860756128446478,5.944859478015025,6.0094839223605785,6.0603803032566965,6.101357446181616
1972-07-01,4.4346987843152785,4.661661325951878,4.852511661474529,5.01350412853621,5.1497645697949626,5.265498716469283,5.364161534392845,5.448594916179682,5.583726835644629,5.685134492675877,5.822746577333757,5.908648711033307,5.965984295302552,6.006569453928778,6.036729315262013,6.060029638853961,6.078590458789773
1972-08-01,4.116127073156062,4.38215493120995,4.607428920485583,4.798817884118173,4.961976414876533,5.101565519934228,5.221432473825468,5.324757498103533,5.491863649734459,5.619016600746893,5.794756120042384,5.906857194457691,5.9828940722191,6.037307917011349,6.078021694967905,6.109602219381757,6.134815578660689
1972-09-01,4.921434382276274,5.065549763575305,5.194383625746966,5.30966228741142,5.4129226575079885,5.505529940791728,5.588694584338253,5.663488216516998,5.791642410275236,5.896321051733636,6.053875966958526,6.163882140908079,6.243208853067261,6.302231962474225,6.34744183892702,6.382984690168525,6.411572872406892
1972-10-01,5.167785466885888,5.286214908631408,5.391526680093545,5.4853037247604925,5.568934753608028,5.643637183229542,5.710477691621076,5.770390548706037,5.872604147455869,5.955677161850398,6.080014809011721,6.166355323089295,6.2284022441284845,6.274471858852024,6.309716673416135,6.337406166053818,6.359669275794815
1972-11-01,5.083487811893851,5.2242538435650765,5.3461358452587895,5.451981641628196,5.544181287363678,5.624743664418376,5.695359904825201,5.757455950828285,5.860719463148746,5.9421196859382635,6.059702882219197,6.13845589358666,6.193731163916979,6.234176893298707,6.264852467412257,6.2888339216974005,6.308063677916027
1972-12-01,5.176600552472764,5.263658536006548,5.344105204211342,5.418214388576396,5.486326073192121,5.548817830876133,5.606084031649076,5.658520982317564,5.750443263544529,5.827478157034525,5.946692475472851,6.032143069855357,6.09476504359028,6.141810393731528,6.178047328679253,6.2066251873903155,6.229650439587237
1973-01-01,5.382460764571125,5.506621837699721,5.6113223141022335,5.699897141158032,5.775084233185183,5.8391340516958,5.893898756029537,5.9409047733433,6.016461506472096,6.073489752270536,6.151475660675736,6.200606287931768,6.233626132809749,6.257109989313008,6.274613401703431,6.288159570255151,6.2989609228169146
1973-02-01,5.911523197233752,6.0098074917213244,6.088949458902625,6.152686026506224,6.2040239251693015,6.245382435997531,6.278708224671301,6.305567721325997,6.344683753431514,6.370140228926077,6.3975821082621716,6.409372608601405,6.414537880155321,6.416878596386832,6.4180003281751565,6.418584958811062,6.418924645117304
1973-03-01,6.017618190053166,6.152802251146134,6.2572868380593425,6.337494628344221,6.39854275205565,6.444504619664946,6.478619627145971,6.5034610679371525,6.533065500327867,6.545059950191998,6.5427081618540575,6.527236274924812,6.509817136606907,6.494036812145208,6.480690030543171,6.469639320685449,6.460505914219799
1973-04-01,6.853425919043348,6.873874974595929,6.882964351007949,6.883636778487064,6.878174644724843,6.8683402337073325,6.855486982148569,6.840647650851364,6.807942566308012,6.774383705324945,6.712412903759049,6.6613768951321015,6.621057118064177,6.589473537669531,6.5645740763621205,6.544685463401869,6.528550858117717
1973-05-01,6.73641701375134,6.728945616600857,6.720559773018505,6.711670920898809,6.702582692727465,6.6935155713724,6.684626223638204,6.676022626056356,6.659929336147406,6.645513081361372,6.621686735870276,6.603608679826973,6.589919310087722,6.5794396695682265,6.5712812328254016,6.564809104550473,6.559577827867866
1973-06-01,7.442303805951198,7.270904277120251,7.134970647158034,7.027374554947631,6.94240462214507,6.875486296576245,6.822956919037233,6.781885148397274,6.7252045878395075,6.6917836522260545,6.663040722525884,6.6575847812364675,6.660267061302709,6.66524200231834,6.670383484157804,6.67501496870055,6.678999065861726
1973-07-01,8.567086957616636,8.230243213593637,7.958848264246994,7.740140710074215,7.563850923196572,7.421714162918519,7.307078865611759,7.214591499880795,7.079664855088772,6.991594960733057,6.896108972781851,6.854565122387217,6.835984150896339,6.827281448965231,6.822903710281065,6.820475442314743,6.818967395043294
1973-08-01,8.966547767777834,8.793837106557328,8.642069058004667,8.508403138506,8.39040704355779,8.285996036011193,8.193381502770716,8.111027280941943,7.972000412211873,7.860398544114574,7.69570122126556,7.582929844305969,7.502615096681665,7.443309791208668,7.3980860993986255,7.362621995993154,7.334136509056826
1973-09-01,9.346447725546476,8.909157087207731,8.555190470816473,8.268462861540897,8.036010922614254,7.847385520520217,7.694162648338536,7.569549648575285,7.3852987308696845,7.262319710153543,7.123298547721327,7.057463121644177,7.024129596250798,7.005694928271905,6.994418816652538,6.986813464000116,6.981249480004127
1973-10-01,8.260055842781473,7.891325381447082,7.600238392806561,7.3710646316515405,7.191214960463206,7.050618482271029,6.941222703545731,6.8565924843647945,6.742108190147764,6.677299379472538,6.62781362156041,6.625835706921809,6.639158738757188,6.655712758334418,6.671359224137923,6.684973888644393,6.696501594425816
1973-11-01,8.066172023714453,7.728568715783552,7.462268349914262,7.252805798345887,7.088606620203865,6.9604135697456275,6.860826420790121,6.783932773006748,6.680297234463583,6.622086067562612,6.5787402532759325,6.578480311197849,6.591878949751742,6.607965464893596,6.623019868471785,6.636065451643521,6.6470899198974305
1973-12-01,8.25801575125927,7.871761775475071,7.566725185136706,7.326462222376145,7.1378115194089755,6.990243368632596,6.875337505183803,6.786364081961474,6.6657967431112795,6.597296927995387,6.544395076937421,6.541481997864365,6.554787226108477,6.57162361781378,6.587618427629831,6.601565434582327,6.613386139046258
1974-01-01,8.10165980236544,7.714061945386314,7.413190734183255,7.18101109797416,7.0031419994464095,6.868125122098033,6.766838936862111,6.692029366346816,6.5999809587287,6.558772531445521,6.553639392159668,6.588614209438871,6.631294462065082,6.670912029271693,6.704769570479546,6.7329427302011196,6.756286298333389
1974-02-01,7.581596682109459,7.246143303469752,6.99501836225172,6.809892416311122,6.676237313836599,6.582554370530174,6.519757487589659,6.480680317971446,6.452336662017264,6.4654950807541045,6.54609505409989,6.6435754392342705,6.732527279646955,6.807112719530001,6.867995550393429,6.917522025888745,6.958087579184522
1974-03-01,7.933233261762963,7.5878970288954255,7.324191156316907,7.1247673249939725,6.975833319277494,6.866436121794754,6.787888233013311,6.733308757880262,6.675436314430517,6.661685436044389,6.697112638136071,6.7598872982515745,6.822379000991035,6.876631333429177,6.921651318221843,6.958579143537449,6.988955145256388
1974-04-01,8.707667018140206,8.464849325077209,8.266446202264433,8.104069996476754,7.970938716566824,7.861566488273735,7.771513930421429,7.697186822607181,7.584614797235992,7.506565211209131,7.4123657283642626,7.362370075392388,7.333460690042707,7.315166854654962,7.302591056789873,7.293340560520651,7.286179558781639
1974-05-01,9.195486694776523,8.999652994486032,8.830204052701324,8.683144721833125,8.555124512243943,8.443329332511293,8.345391913850023,8.259317629497158,8.116284718046396,8.003637478784185,7.841095188684866,7.732355499066653,7.6560922895287735,7.60031673891317,7.558026876729472,7.524971199916397,7.498467647766137
1974-06-01,8.666008325495866,8.591950271358986,8.518180323038585,8.446031718206074,8.37641366469693,8.309915595451693,8.246888048676496,8.187505183643331,8.079765662405839,7.9861286271440175,7.835760499511565,7.724379317512111,7.641166360493862,7.577948319950934,7.528943029790831,7.490158471657825,7.458849640538053
1974-07-01,8.14850868977682,8.262677811891255,8.333725662400006,8.372123200099413,8.386053767398735,8.381891860098824,8.364583861373646,8.337950561883916,8.267754470053278,8.187320128213432,8.027584237605776,7.889844789015975,7.778651127626821,7.6905736473116715,7.620721923487669,7.564749110854685,7.51926419159723
1974-08-01,8.325086107894439,8.443193448710153,8.516585587618025,8.556125928019101,8.570304007964475,8.565732380433047,8.547541741600629,8.519694881506458,8.446487863697447,8.36271812983566,8.196495308867584,8.053232525768664,7.93760579188697,7.846027204175223,7.773403203146904,7.715210800860582,7.667922988947048
1974-09-01,10.1906098482072,9.884462527459002,9.630572248666857,9.419461900169457,9.243420953128487,9.096171245369284,8.972596561276292,8.86852375950212,8.705877015635895,8.587764931024497,8.4346716760599,8.344508481340117,8.287065155248014,8.24773482789774,8.219132483857017,8.19732074745258,8.180073237802544
1974-10-01,8.088884144706107,8.088900148773966,8.085582312732752,8.079908856361731,8.072628327066097,8.06430953199567,8.055381002107756,8.046162138888244,8.027727395723543,8.010188127734281,7.979634516683345,7.955485776846916,7.936796775932932,7.922317098682478,7.910969653553763,7.901935003692711,7.894618280453749
1974-11-01,7.974808886420145,7.9241120169296515,7.87901830947388,7.8388537254464605,7.8030265314399205,7.771017662858632,7.742372069014709,7.716690980340589,7.672868156639295,7.637242258264642,7.583904245625459,7.546855395203049,7.520226073761105,7.500451689421343,7.485322627093587,7.473436296542879,7.463879168800565
1974-12-01,7.8374719618752025,7.690084196959238,7.576384546749508,7.489306761338454,7.423222969400847,7.373654958418692,7.337042965613041,7.31056057714161,7.279486476159822,7.2675535395393736,7.272110854934844,7.290554743720386,7.3107654772596655,7.328914860794986,7.344206694172134,7.356844315542423,7.36727949122568
1975-01-01,7.149024105841798,7.1292514316209985,7.115666866949,7.106832656750059,7.101619017895241,7.09914040163821,7.098704713624891,7.099772884718479,7.104843265065631,7.112031758916142,7.12795290712704,7.14252684371368,7.154601910113873,7.164291313245047,7.172027999345476,7.1782498450553085,7.183315512974481
1975-02-01,5.693380969386098,5.842934652398861,5.976333680312512,6.095456535421406,6.20196470966503,6.297325520774847,6.382833209403685,6.459628250680617,6.590976946893018,6.698044129864778,6.858824442682258,6.970832068184514,7.051488601198655,7.1114500837276085,7.1573559065075205,7.1934357874200145,7.22245148040716
