,L_lag,S_lag,C_lag
L,0.9923077256801839,0.026515260276823438,-0.019095025818369304
S,-0.01737343439266562,0.9370809137678462,0.049447827059885555
C,0.03489364840658011,0.02860014342993827,0.8788592952086225
