date,panel_month,calendar_month_start,actual_quote_date,exact_calendar_first_of_month,calendar_days_after_month_start,n_raw,n_pass1,n_pass2,n_pass3,n_pass4,y3,y6,y9,y12,y15,y18,y21,y24,y30,y36,y48,y60,y72,y84,y96,y108,y120
1972-01-03,1972-01,1972-01-01,1972-01-03,False,2,57,57,53,55,54,0.0374417094447176,0.04023316902262389,0.042061167993347075,0.04256194352351723,0.04476206678819185,0.04555447355042864,0.04716867734358519,0.048405680554648944,0.05029357803405933,0.05255967490070742,0.052395038055934276,0.05526723534688915,0.0581574597796816,0.05902850189742052,0.059022332181317284,0.059016162465214045,0.05926689541719586
1972-02-01,1972-02,1972-02-01,1972-02-01,True,0,58,58,55,56,56,0.03418180209503248,0.0383639460975147,0.040765776170471356,0.04219707248341291,0.04507696813206173,0.04635899160608736,0.047342064559172746,0.0482809985433,0.051572547287708576,0.05555749406532977,0.055022720527634315,0.057597167888100244,0.059754604602433564,0.060109694985412854,0.060260019054345235,0.060410343123277616,0.060766779940324804
1972-03-01,1972-03,1972-03-01,1972-03-01,True,0,57,57,56,56,56,0.03403791084793466,0.038157642797010706,0.03964440807891846,0.042653785013343264,0.043290736390951476,0.04371633528697528,0.04554831654320944,0.047345438460421455,0.05013694678663703,0.05229641542305957,0.05464006410717456,0.05637085995569041,0.0587250763801919,0.05939407526782921,0.060036840160068015,0.060679605052306816,0.06260719517324863
1972-04-03,1972-04,1972-04-01,1972-04-03,False,2,57,57,54,55,55,0.03864641564433892,0.04395541723825842,0.04702781713054193,0.04945893859275729,0.05152162827472764,0.053157725383359646,0.05450285244415304,0.05542461941204601,0.056673296025553155,0.057986940253254446,0.06037793402604794,0.06037683165302255,0.06161852564533401,0.06141760385787036,0.06115948081919489,0.06090135778051941,0.06293791990303174
1972-05-01,1972-05,1972-05-01,1972-05-01,True,0,58,58,55,56,56,0.03614247712665008,0.03908968004930038,0.04345354267773517,0.04471168527529324,0.04532323628079663,0.047073849802600036,0.04902216746454074,0.05084030117895543,0.05301846015349341,0.05493052237428792,0.05804420151826074,0.057461174978166704,0.059040933030645025,0.059381007791065234,0.060279479928372556,0.06117795206567987,0.0625094985624343
1972-06-01,1972-06,1972-06-01,1972-06-01,True,0,55,55,55,55,55,0.03863872810374998,0.04283843406299062,0.045084656074980835,0.047044445594970556,0.04715276495832727,0.04842300270299059,0.049534994632439,0.0500974756365307,0.0522756275479907,0.053210215001837056,0.05604377044455207,0.05735978838626099,0.05924472643918551,0.05944870252431936,0.059930563428879216,0.06041242433343907,0.06275333594142994
1972-07-03,1972-07,1972-07-01,1972-07-03,False,2,56,55,54,54,54,0.04120979573041403,0.045544291319381605,0.049768750243915756,0.051958128197362945,0.051440698049555526,0.05271202421931378,0.053649078468165565,0.05435827509454515,0.055507201566675796,0.05636313373205483,0.058542814658065004,0.059059884022946894,0.060532704030024545,0.06017603922363692,0.05996426336157144,0.059752487499505964,0.06002111580842729
1972-08-01,1972-08,1972-08-01,1972-08-01,True,0,57,55,54,55,54,0.03755365740444847,0.04332248100954104,0.04694911315619227,0.049291235473990974,0.049975064255294535,0.0506588930365981,0.051669507578649694,0.05278445384425522,0.05440184141053061,0.05654172451910597,0.05869876255863553,0.05888495479720878,0.06030209020022931,0.06031111409032444,0.0604442880103909,0.06057746193045736,0.0632455231604432
1972-09-01,1972-09,1972-09-01,1972-09-01,True,0,57,56,55,56,55,0.04574552222744715,0.05053404259536928,0.052240046305253286,0.05472412323251813,0.05483483600275652,0.05499707698532734,0.05547610087094926,0.05616813808086503,0.05709486389454999,0.05865226642216273,0.06104240532583468,0.060856293142695465,0.0621601060195019,0.06391649743568781,0.06405174469399241,0.06418699195229702,0.06465724450008474
1972-10-02,1972-10,1972-10-01,1972-10-02,False,1,57,57,57,57,57,0.04587425866474113,0.052289815980293614,0.05444938062067636,0.056521497169662836,0.056441127196360255,0.0568854063308298,0.05750817552677936,0.05767523448311485,0.057371133586505335,0.059242872111145733,0.06011641325376855,0.06053943971942788,0.06170006577310442,0.06270880898134892,0.06322414306453869,0.06410623520398025,0.06580411168337726
1972-11-01,1972-11,1972-11-01,1972-11-01,True,0,59,59,59,59,59,0.047455398827562965,0.051878228048016777,0.053830522528540196,0.05502831417425846,0.05564658792938376,0.056921913395357716,0.05739227814780938,0.05775379755511915,0.05719908940952005,0.0590808831515911,0.060998771327701665,0.060979152236712394,0.06170964576272863,0.062300022884054874,0.06266250005686202,0.06313467995921555,0.06383654844720402
1972-12-01,1972-12,1972-12-01,1972-12-01,True,0,59,59,59,59,59,0.04965374513298427,0.05285288370017985,0.05393618305983395,0.0541432900232422,0.05366515747345237,0.05530181295226195,0.05670955203500896,0.05642859111462345,0.05763660652301935,0.05809528686533553,0.06005437057541905,0.060061057711733666,0.06039811681459998,0.06105635311694129,0.06158566764043291,0.06246514273488961,0.06327495204381285
1973-01-02,1973-01,1973-01-01,1973-01-02,False,1,60,60,60,60,60,0.052487617902046854,0.05538791944138307,0.0553870703295776,0.05664921504959707,0.05761439463098817,0.0585202367767199,0.0606052017430369,0.059269158198137176,0.06050608212170853,0.06011872066836964,0.060939258077667605,0.06197094581647928,0.06204619272152185,0.0623902035699778,0.062285071300564133,0.06322115946501763,0.06408058494348126
1973-02-01,1973-02,1973-02-01,1973-02-01,True,0,60,60,58,58,58,0.05824187984177637,0.060656058670623784,0.059313601843274735,0.06255617145092528,0.06285329063440276,0.06284632762218706,0.06255223319675365,0.06281078021377916,0.06302579273664914,0.06387659345589525,0.06471220752661254,0.06419842762098205,0.06410019422533907,0.0638284233875439,0.06370705734237109,0.06392792649125617,0.06494423556111573
1973-03-01,1973-03,1973-03-01,1973-03-01,True,0,62,62,59,59,59,0.05875894555224253,0.06274306558098851,0.05988008277938231,0.06431670091624261,0.0645452242503959,0.06474141355993124,0.06476527327561934,0.06483575501804459,0.06530513956829348,0.06585162302428843,0.06614549530767994,0.06578122463006579,0.06537125532287964,0.06445602020726708,0.06375973301206253,0.06425458299783379,0.06543909829794285
1973-04-02,1973-04,1973-04-01,1973-04-02,False,1,61,61,59,59,59,0.06572783854046649,0.0691781915016129,0.06795384904297537,0.06993093996945707,0.06914198979565596,0.06902348444125155,0.06875455735901144,0.06820010344827598,0.06829601307116008,0.06701050468697192,0.06637057701644498,0.0664428672280635,0.06594314554168884,0.06562887430219727,0.06617509080729155,0.0654524987042173,0.0659031783516265
1973-05-01,1973-05,1973-05-01,1973-05-01,True,0,63,59,58,58,58,0.06332677190920007,0.0676491331691738,0.06730977177354656,0.06734693692982094,0.06710620383678266,0.06670351107479844,0.06674392871922316,0.0666292071098715,0.06639394785915298,0.06674892433266742,0.06555104206645021,0.06601801705017803,0.0656936503286051,0.06606558460882848,0.0666641523869401,0.06521418921517225,0.06560091993969805
