fold_id,kernel,input_set,factor,lambda_corr,ell_dL_t,ell_dS_t,ell_dC_t,rq_alpha,alpha_factor,sigma_factor,map_objective,optimizer_success,best_restart_name,final_jitter,n_train,pathology_flag,ell_L_dm_t,ell_S_dm_t,ell_C_dm_t,ell_time
1,RBF,4D,L,0.5,,,,,0.09485203669513881,0.9926443158824798,-910.7091211441166,True,shrink_to_noise,1e-06,214,none,2.1893911884734583,2.318264946429442,1.8767689587674625,2.2229879061128943
1,RBF,4D,S,0.5,,,,,0.09247457657562104,0.9934601283999429,-910.7091211441166,True,shrink_to_noise,1e-06,214,none,2.1893911884734583,2.318264946429442,1.8767689587674625,2.2229879061128943
1,RBF,4D,C,0.5,,,,,0.11250433274820089,0.9860837732496246,-910.7091211441166,True,shrink_to_noise,1e-06,214,none,2.1893911884734583,2.318264946429442,1.8767689587674625,2.2229879061128943
1,RBF,4D,L,1.0,,,,,0.09485203669513881,0.9926443158824798,-910.7091211441166,True,shrink_to_noise,1e-06,214,none,2.1893911884734583,2.318264946429442,1.8767689587674625,2.2229879061128943
1,RBF,4D,S,1.0,,,,,0.09247457657562104,0.9934601283999429,-910.7091211441166,True,shrink_to_noise,1e-06,214,none,2.1893911884734583,2.318264946429442,1.8767689587674625,2.2229879061128943
1,RBF,4D,C,1.0,,,,,0.11250433274820089,0.9860837732496246,-910.7091211441166,True,shrink_to_noise,1e-06,214,none,2.1893911884734583,2.318264946429442,1.8767689587674625,2.2229879061128943
1,RBF,7D,L,0.5,1.7215473935582646,1.76194640006903,1.7265363945553203,,0.0960412992109282,0.9914329839701823,-909.766126411076,True,prior_median,1e-06,214,none,2.2022488861508362,2.2838105002128226,2.0158043224609803,2.230517061903515
1,RBF,7D,S,0.5,1.7215473935582646,1.76194640006903,1.7265363945553203,,0.10525694483203965,0.9883245974286257,-909.766126411076,True,prior_median,1e-06,214,none,2.2022488861508362,2.2838105002128226,2.0158043224609803,2.230517061903515
1,RBF,7D,C,0.5,1.7215473935582646,1.76194640006903,1.7265363945553203,,0.1114927256122415,0.9860258839984135,-909.766126411076,True,prior_median,1e-06,214,none,2.2022488861508362,2.2838105002128226,2.0158043224609803,2.230517061903515
1,RBF,7D,L,1.0,1.7215473935582646,1.76194640006903,1.7265363945553203,,0.0960412992109282,0.9914329839701823,-909.766126411076,True,prior_median,1e-06,214,none,2.2022488861508362,2.2838105002128226,2.0158043224609803,2.230517061903515
1,RBF,7D,S,1.0,1.7215473935582646,1.76194640006903,1.7265363945553203,,0.10525694483203965,0.9883245974286257,-909.766126411076,True,prior_median,1e-06,214,none,2.2022488861508362,2.2838105002128226,2.0158043224609803,2.230517061903515
1,RBF,7D,C,1.0,1.7215473935582646,1.76194640006903,1.7265363945553203,,0.1114927256122415,0.9860258839984135,-909.766126411076,True,prior_median,1e-06,214,none,2.2022488861508362,2.2838105002128226,2.0158043224609803,2.230517061903515
1,RQ,4D,L,0.5,,,,2.0824324750188903,0.09376148171133149,0.9932323825068647,-911.1476079151947,True,prior_median,1e-06,214,none,2.2105658049569143,2.3154339690922856,1.9483704615704458,2.227467014740504
1,RQ,4D,S,0.5,,,,2.0824324750188903,0.09234783379354618,0.9936832936399522,-911.1476079151947,True,prior_median,1e-06,214,none,2.2105658049569143,2.3154339690922856,1.9483704615704458,2.227467014740504
1,RQ,4D,C,0.5,,,,2.0824324750188903,0.10849532901910375,0.987839982212096,-911.1476079151947,True,prior_median,1e-06,214,none,2.2105658049569143,2.3154339690922856,1.9483704615704458,2.227467014740504
1,RQ,4D,L,1.0,,,,2.0824324750188903,0.09376148171133149,0.9932323825068647,-911.1476079151947,True,prior_median,1e-06,214,none,2.2105658049569143,2.3154339690922856,1.9483704615704458,2.227467014740504
1,RQ,4D,S,1.0,,,,2.0824324750188903,0.09234783379354618,0.9936832936399522,-911.1476079151947,True,prior_median,1e-06,214,none,2.2105658049569143,2.3154339690922856,1.9483704615704458,2.227467014740504
1,RQ,4D,C,1.0,,,,2.0824324750188903,0.10849532901910375,0.987839982212096,-911.1476079151947,True,prior_median,1e-06,214,none,2.2105658049569143,2.3154339690922856,1.9483704615704458,2.227467014740504
1,RQ,7D,L,0.5,1.7156154992149146,1.7557689231966003,1.7287005327325444,2.1310137095965658,0.09462472903065941,0.9922101025413111,-910.3128585436959,True,moderate,1e-06,214,none,2.2215564259783993,2.2777132087032204,2.052653136306625,2.2341253814064292
1,RQ,7D,S,0.5,1.7156154992149146,1.7557689231966003,1.7287005327325444,2.1310137095965658,0.10228959539813454,0.9895924890215098,-910.3128585436959,True,moderate,1e-06,214,none,2.2215564259783993,2.2777132087032204,2.052653136306625,2.2341253814064292
1,RQ,7D,C,0.5,1.7156154992149146,1.7557689231966003,1.7287005327325444,2.1310137095965658,0.10704899006018244,0.9878460052003586,-910.3128585436959,True,moderate,1e-06,214,none,2.2215564259783993,2.2777132087032204,2.052653136306625,2.2341253814064292
1,RQ,7D,L,1.0,1.7156154992149146,1.7557689231966003,1.7287005327325444,2.1310137095965658,0.09462472903065941,0.9922101025413111,-910.3128585436959,True,moderate,1e-06,214,none,2.2215564259783993,2.2777132087032204,2.052653136306625,2.2341253814064292
1,RQ,7D,S,1.0,1.7156154992149146,1.7557689231966003,1.7287005327325444,2.1310137095965658,0.10228959539813454,0.9895924890215098,-910.3128585436959,True,moderate,1e-06,214,none,2.2215564259783993,2.2777132087032204,2.052653136306625,2.2341253814064292
1,RQ,7D,C,1.0,1.7156154992149146,1.7557689231966003,1.7287005327325444,2.1310137095965658,0.10704899006018244,0.9878460052003586,-910.3128585436959,True,moderate,1e-06,214,none,2.2215564259783993,2.2777132087032204,2.052653136306625,2.2341253814064292
2,RBF,4D,L,0.5,,,,,0.09454224793003758,0.9936830979779998,-1165.3518162045855,True,conservative,1e-06,274,none,2.1040551604706996,2.255849174102892,1.8637222993626676,1.905262999822818
2,RBF,4D,S,0.5,,,,,0.08866340150341423,0.9954793832777296,-1165.3518162045855,True,conservative,1e-06,274,none,2.1040551604706996,2.255849174102892,1.8637222993626676,1.905262999822818
2,RBF,4D,C,0.5,,,,,0.15057437747326574,0.9767040334907735,-1165.3518162045855,True,conservative,1e-06,274,none,2.1040551604706996,2.255849174102892,1.8637222993626676,1.905262999822818
2,RBF,4D,L,1.0,,,,,0.09454224793003758,0.9936830979779998,-1165.3518162045855,True,conservative,1e-06,274,none,2.1040551604706996,2.255849174102892,1.8637222993626676,1.905262999822818
2,RBF,4D,S,1.0,,,,,0.08866340150341423,0.9954793832777296,-1165.3518162045855,True,conservative,1e-06,274,none,2.1040551604706996,2.255849174102892,1.8637222993626676,1.905262999822818
2,RBF,4D,C,1.0,,,,,0.15057437747326574,0.9767040334907735,-1165.3518162045855,True,conservative,1e-06,274,none,2.1040551604706996,2.255849174102892,1.8637222993626676,1.905262999822818
2,RBF,7D,L,0.5,1.6676459463443278,1.696415964060889,1.7623462243782129,,0.09726576992768245,0.9919540262466495,-1163.6649201450723,True,time_sensitive,1e-06,274,none,2.1321413353047363,2.2852017421172772,1.9969810434144615,1.9566921468597565
2,RBF,7D,S,0.5,1.6676459463443278,1.696415964060889,1.7623462243782129,,0.10391152353969972,0.9903800947985841,-1163.6649201450723,True,time_sensitive,1e-06,274,none,2.1321413353047363,2.2852017421172772,1.9969810434144615,1.9566921468597565
2,RBF,7D,C,0.5,1.6676459463443278,1.696415964060889,1.7623462243782129,,0.2056769156031077,0.9599320624715723,-1163.6649201450723,True,time_sensitive,1e-06,274,none,2.1321413353047363,2.2852017421172772,1.9969810434144615,1.9566921468597565
2,RBF,7D,L,1.0,1.6676459463443278,1.696415964060889,1.7623462243782129,,0.09726576992768245,0.9919540262466495,-1163.6649201450723,True,time_sensitive,1e-06,274,none,2.1321413353047363,2.2852017421172772,1.9969810434144615,1.9566921468597565
2,RBF,7D,S,1.0,1.6676459463443278,1.696415964060889,1.7623462243782129,,0.10391152353969972,0.9903800947985841,-1163.6649201450723,True,time_sensitive,1e-06,274,none,2.1321413353047363,2.2852017421172772,1.9969810434144615,1.9566921468597565
2,RBF,7D,C,1.0,1.6676459463443278,1.696415964060889,1.7623462243782129,,0.2056769156031077,0.9599320624715723,-1163.6649201450723,True,time_sensitive,1e-06,274,none,2.1321413353047363,2.2852017421172772,1.9969810434144615,1.9566921468597565
2,RQ,4D,L,0.5,,,,2.1468162164626254,0.09325165367249066,0.9943032321183116,-1165.9596434628438,True,time_sensitive,1e-06,274,none,2.1557682596478607,2.278976798211611,1.9931422138600932,1.9456862380602236
2,RQ,4D,S,0.5,,,,2.1468162164626254,0.08882874275822589,0.9955975114082765,-1165.9596434628438,True,time_sensitive,1e-06,274,none,2.1557682596478607,2.278976798211611,1.9931422138600932,1.9456862380602236
