fold_id,kernel,input_set,lambda_corr,pred_corr_mean_L,pred_corr_mean_S,pred_corr_mean_C,pred_corr_std_L,pred_corr_std_S,pred_corr_std_C,mean_abs_pred_corr_over_train_std_L,mean_abs_pred_corr_over_train_std_S,mean_abs_pred_corr_over_train_std_C
1,RBF,4D,0.5,-0.00024456553490058956,-7.476575330266281e-05,0.0030974838746022815,3.985807917629439e-05,6.760101668049041e-05,0.0003078959489691441,0.062497460192748495,0.010579308620440871,0.25765288106647005
1,RBF,4D,1.0,-0.00024456553490058956,-7.476575330266281e-05,0.0030974838746022815,3.985807917629439e-05,6.760101668049041e-05,0.0003078959489691441,0.062497460192748495,0.010579308620440871,0.25765288106647005
1,RBF,7D,0.5,-0.000211367475856617,-7.995105533848093e-05,0.003154596570080405,5.0141841112299195e-05,6.68340118610221e-05,0.00020603652988544213,0.05401386754581013,0.010784212578842803,0.26240359200836316
1,RBF,7D,1.0,-0.000211367475856617,-7.995105533848093e-05,0.003154596570080405,5.0141841112299195e-05,6.68340118610221e-05,0.00020603652988544213,0.05401386754581013,0.010784212578842803,0.26240359200836316
1,RQ,4D,0.5,-0.00024609253146141866,-9.516596641987138e-05,0.003154240357188924,2.735026995671149e-05,4.9351862421610264e-05,0.0002635864496142336,0.0628876762827371,0.011693104107014483,0.26237396174022337
1,RQ,4D,1.0,-0.00024609253146141866,-9.516596641987138e-05,0.003154240357188924,2.735026995671149e-05,4.9351862421610264e-05,0.0002635864496142336,0.0628876762827371,0.011693104107014483,0.26237396174022337
1,RQ,7D,0.5,-0.00021655069513734222,-9.19259841023491e-05,0.003199581020478326,3.831650990292463e-05,4.9478682356134286e-05,0.0001789908780810194,0.055338412481379586,0.011456725069018653,0.2661454591874794
1,RQ,7D,1.0,-0.00021655069513734222,-9.19259841023491e-05,0.003199581020478326,3.831650990292463e-05,4.9478682356134286e-05,0.0001789908780810194,0.055338412481379586,0.011456725069018653,0.2661454591874794
2,RBF,4D,0.5,1.082105264752136e-05,-0.0003295487970811238,0.00156394394175687,1.770029442008325e-05,1.7338537470057588e-05,0.00016374914984700458,0.004564387436408154,0.044899321167728,0.13756140374808004
2,RBF,4D,1.0,1.082105264752136e-05,-0.0003295487970811238,0.00156394394175687,1.770029442008325e-05,1.7338537470057588e-05,0.00016374914984700458,0.004564387436408154,0.044899321167728,0.13756140374808004
2,RBF,7D,0.5,1.8196971505894452e-05,-0.0003284660285988345,0.001368189284623854,4.8456403760249144e-05,3.0178327783302028e-05,0.0005110340505251799,0.011214693040227637,0.04475179955555038,0.12034321279732789
2,RBF,7D,1.0,1.8196971505894452e-05,-0.0003284660285988345,0.001368189284623854,4.8456403760249144e-05,3.0178327783302028e-05,0.0005110340505251799,0.011214693040227637,0.04475179955555038,0.12034321279732789
2,RQ,4D,0.5,-1.4864946990560998e-05,-0.0003261183798135982,0.0016078462941644539,1.3386953483628215e-05,1.3375416870068543e-05,0.0001113493922470614,0.0042744835544463915,0.044431944536412186,0.1414229674932907
2,RQ,4D,1.0,-1.4864946990560998e-05,-0.0003261183798135982,0.0016078462941644539,1.3386953483628215e-05,1.3375416870068543e-05,0.0001113493922470614,0.0042744835544463915,0.044431944536412186,0.1414229674932907
2,RQ,7D,0.5,-5.046264226168565e-06,-0.00031757743020064674,0.001478047137944956,3.897619838414777e-05,2.3506760737670298e-05,0.0003697204615483842,0.008023021281306655,0.04326828427381718,0.1300060914415746
2,RQ,7D,1.0,-5.046264226168565e-06,-0.00031757743020064674,0.001478047137944956,3.897619838414777e-05,2.3506760737670298e-05,0.0003697204615483842,0.008023021281306655,0.04326828427381718,0.1300060914415746
3,RBF,4D,0.5,-0.0001924786304972696,-0.0002406645366624013,0.001427131624547416,2.2823935047650905e-05,2.3423278094290325e-05,0.0003992385652686297,0.054215078408164474,0.03572373599779692,0.135048748046299
3,RBF,4D,1.0,-0.0001924786304972696,-0.0002406645366624013,0.001427131624547416,2.2823935047650905e-05,2.3423278094290325e-05,0.0003992385652686297,0.054215078408164474,0.03572373599779692,0.135048748046299
3,RBF,7D,0.5,-0.00019258307156352794,-0.0002140833438041739,0.0012210313412132111,6.508096208438324e-05,8.062684456619927e-05,0.0021687904259881114,0.05424449611849211,0.031778079818690276,0.20040101945097735
3,RBF,7D,1.0,-0.00019258307156352794,-0.0002140833438041739,0.0012210313412132111,6.508096208438324e-05,8.062684456619927e-05,0.0021687904259881114,0.05424449611849211,0.031778079818690276,0.20040101945097735
3,RQ,4D,0.5,-0.0001927202394726502,-0.0002287620702355949,0.0015648031592595966,1.9464860801514933e-05,1.1010780110398309e-05,0.00028424982300522607,0.054283131934473004,0.03395695899670376,0.14807653615266148
3,RQ,4D,1.0,-0.0001927202394726502,-0.0002287620702355949,0.0015648031592595966,1.9464860801514933e-05,1.1010780110398309e-05,0.00028424982300522607,0.054283131934473004,0.03395695899670376,0.14807653615266148
3,RQ,7D,0.5,-0.00018840606040929967,-0.00020546770679063237,0.001380964366012865,5.620711749075818e-05,6.176512111307624e-05,0.0018565944507873517,0.05306796557765643,0.03049919284018893,0.19088621356584118
3,RQ,7D,1.0,-0.00018840606040929967,-0.00020546770679063237,0.001380964366012865,5.620711749075818e-05,6.176512111307624e-05,0.0018565944507873517,0.05306796557765643,0.03049919284018893,0.19088621356584118
